reSASC,SASC,Measure
0.9424294761082325,0.9441565918249856,Different Lineages
0.9580507410198443,0.9580507410198443,Different Lineages
0.9502502207830439,0.9502502207830439,Different Lineages
0.9402666666666666,0.9402666666666666,Different Lineages
0.9445061043285239,0.9445061043285239,Different Lineages
0.9287145720011452,0.9287145720011452,Different Lineages
0.9574309185959672,0.9574309185959672,Different Lineages
0.9557805007991476,0.9557805007991476,Different Lineages
0.961548127670269,0.961548127670269,Different Lineages
0.9573154362416108,0.9573154362416108,Different Lineages
0.9461581604038138,0.9461581604038138,Different Lineages
0.9649975692756442,0.9649975692756442,Different Lineages
0.9544554455445544,0.9544554455445544,Different Lineages
0.9613102302397343,0.9605700712589074,Different Lineages
0.9578284052350946,0.9578284052350946,Different Lineages
0.9679767103347888,0.9679767103347888,Different Lineages
0.9410065013243438,0.9410065013243438,Different Lineages
0.9467633091727069,0.9467633091727069,Different Lineages
0.9596122778675283,0.9596122778675283,Different Lineages
0.9436513899323816,0.9436513899323816,Different Lineages
0.9453957996768982,0.9460420032310178,Different Lineages
0.9635429410325422,0.9635429410325422,Different Lineages
0.9458720612356479,0.9458720612356479,Different Lineages
0.9648854961832062,0.9648854961832062,Different Lineages
0.9654811715481172,0.9654811715481172,Different Lineages
0.9521197007481298,0.9521197007481298,Different Lineages
0.9635910224438904,0.9635910224438904,Different Lineages
0.9560524286815728,0.9560524286815728,Different Lineages
0.9493891797556718,0.9493891797556718,Different Lineages
0.9581589958158997,0.9581589958158997,Different Lineages
0.9611510791366906,0.9611510791366906,Different Lineages
0.9647630619684082,0.9652490886998786,Different Lineages
0.9546226644018442,0.9546226644018442,Different Lineages
0.958904109589041,0.958904109589041,Different Lineages
0.9502645502645503,0.9502645502645503,Different Lineages
0.9642666666666666,0.9642666666666666,Different Lineages
0.9648055041016141,0.9648055041016141,Different Lineages
0.9613369917685207,0.9613369917685207,Different Lineages
0.969639015060961,0.969639015060961,Different Lineages
0.9469658337582867,0.9469658337582867,Different Lineages
0.9574419139636531,0.9574419139636531,Different Lineages
0.9584055459272096,0.9584055459272096,Different Lineages
0.9578163771712158,0.9578163771712158,Different Lineages
0.9423305588585018,0.9423305588585018,Different Lineages
0.9548387096774195,0.9548387096774195,Different Lineages
0.9474243228890069,0.9474243228890069,Different Lineages
0.9558745348219032,0.9558745348219032,Different Lineages
0.9597262437483549,0.9602526980784416,Different Lineages
0.9399019860717049,0.9450718685831623,Different Lineages
0.9582819057022958,0.9582819057022958,Different Lineages
